score,axis,group,auroc,auprc,brier,cal_slope,cal_intercept,n,prevalence,auroc_ci_lo,auroc_ci_hi
sofa,race_cat,White,0.9411764705882353,0.6026315789473684,0.036301793444650586,1.0204929697728695,-0.04109030189180468,55,0.07272727272727272,0.7925105891413169,1.0
sofa,sex,Female,0.9324324324324325,0.625,0.02521948950520379,0.9928503646314036,0.008352074044223778,39,0.05128205128205128,0.7894736842105263,1.0
sofa,sex,Male,0.9785714285714286,0.7916666666666666,0.037837120663868386,1.0379017586416008,-0.003916515059632031,47,0.10638297872340426,0.9349460940261576,1.0
sofa,age_group,60-69,1.0,1.0,0.02388682745825603,1.1199999999999999,0.06000000000000005,22,0.22727272727272727,1.0,1.0
sofa,insurance_cat,Other,0.9946808510638299,0.8333333333333333,0.013408764866490815,1.0769230769230766,-0.07692307692307684,49,0.04081632653061224,0.9779468599033816,1.0
sofa,insurance_cat,Medicare,0.9653846153846154,0.81,0.06700314534415917,0.9500303214069132,0.11983020012128559,31,0.16129032258064516,0.8792025862068965,1.0
sofa,diag_type,Medical,1.0,1.0,0.016812439261418854,1.139186295503212,0.032119914346895095,35,0.14285714285714285,1.0,1.0
sofa,diag_type,Surgical,0.9210526315789473,0.2,0.033097854526425954,-0.04057971014492754,0.09082125603864734,39,0.02564102564102564,0.8529160739687055,0.9947368421052631
qsofa,race_cat,White,0.5637254901960784,0.08290598290598292,0.06774971409166915,0.6285483096734734,0.022480054993632433,55,0.07272727272727272,0.3413265306122449,0.784346610761705
qsofa,sex,Female,0.581081081081081,0.06066176470588235,0.04981557839705047,0.481112746778519,0.012553187198773939,39,0.05128205128205128,0.2996977240398293,0.8246710526315788
qsofa,sex,Male,0.6738095238095239,0.15714285714285714,0.09204732390940286,1.3675702368708873,-0.009145893530535257,47,0.10638297872340426,0.4751347135564379,0.8111111111111111
qsofa,age_group,60-69,0.7941176470588235,0.45,0.1848287298727562,,,22,0.22727272727272727,0.6067338217338217,0.9508333333333331
qsofa,insurance_cat,Other,0.7872340425531915,0.09090909090909091,0.03888769434942477,0.7469513688231546,-0.015150773121290768,49,0.04081632653061224,0.7098847517730495,0.8530806737588652
qsofa,insurance_cat,Medicare,0.5846153846153845,0.18896551724137933,0.13872171818583412,,,31,0.16129032258064516,0.3495833333333333,0.7999999999999999
qsofa,diag_type,Medical,0.68,0.21003584229390682,0.12053217574822678,1.8233325924446933,-0.011239113227457395,35,0.14285714285714285,0.46492656449553,0.828125
qsofa,diag_type,Surgical,0.7894736842105263,0.058823529411764705,0.027282555864027936,0.4833214739443943,-0.009803441431423445,39,0.02564102564102564,0.7128022759601707,0.8748933143669985
apache2,race_cat,White,0.9779411764705882,0.7611111111111111,0.02593939393939394,0.9821428571428571,0.021428571428571463,55,0.07272727272727272,0.9251058914131691,1.0
apache2,sex,Female,0.9797297297297297,0.7,0.01948717948717949,0.9821428571428572,0.023809523809523836,39,0.05128205128205128,0.9342105263157895,1.0
apache2,sex,Male,0.9952380952380953,0.9428571428571428,0.015035460992907802,1.0126582278481013,-0.022151898734177222,47,0.10638297872340426,0.9714285714285715,1.0
apache2,age_group,60-69,0.9941176470588236,0.9666666666666667,0.028888888888888895,1.0502958579881656,-0.027613412228796763,22,0.22727272727272727,0.9727888655462185,1.0
apache2,insurance_cat,Other,1.0,1.0,0.01070294784580499,,,49,0.04081632653061224,1.0,1.0
apache2,insurance_cat,Medicare,0.9807692307692307,0.925,0.02910394265232975,0.7303229061553987,0.15085771947527743,31,0.16129032258064516,0.9051125478927203,1.0
apache2,diag_type,Medical,1.0,1.0,0.014984126984126985,0.9721380981223503,0.041187159297395415,35,0.14285714285714285,1.0,1.0
apache2,diag_type,Surgical,1.0,1.0,0.007749287749287746,0.6392931392931394,-0.0498960498960499,39,0.02564102564102564,1.0,1.0
news2,race_cat,White,0.948529411764706,0.6004901960784313,0.04247159090909091,1.6090438059349979,-0.06178363950384674,55,0.07272727272727272,0.865166908563135,1.0
news2,sex,Female,0.8243243243243243,0.14285714285714285,0.04659677706552707,0.2652291105121295,0.03652291105121293,39,0.05128205128205128,0.6578947368421053,0.94621138996139
news2,sex,Male,0.9023809523809524,0.6506211180124224,0.05220338356973995,1.1067727163171845,0.0061058889692295615,47,0.10638297872340426,0.7464958291203235,1.0
news2,age_group,60-69,0.8705882352941177,0.7538461538461538,0.10268702651515152,1.3711032800216865,-0.04564245052859861,22,0.22727272727272727,0.7013725490196078,1.0
news2,insurance_cat,Other,0.9361702127659575,0.5833333333333334,0.03158659297052154,1.737723859041017,-0.0548173823737082,49,0.04081632653061224,0.7993461879432624,1.0
news2,insurance_cat,Medicare,0.8384615384615384,0.5953619909502262,0.08456541218637993,0.9219589928821844,0.036837352597471534,31,0.16129032258064516,0.6487530788177339,1.0
news2,diag_type,Medical,0.9033333333333333,0.6928571428571428,0.06712549603174603,1.2115655853314524,-0.020598260460742784,35,0.14285714285714285,0.760097103357472,1.0
news2,diag_type,Surgical,0.6710526315789473,0.058823529411764705,0.029558404558404555,-0.1852348993288591,0.05022371364653244,39,0.02564102564102564,0.5105263157894737,0.8236842105263158
