score,axis,auroc_gap,worst_group,best_group,worst_auroc,best_auroc
sofa,sex,0.04613899613899619,Female,Male,0.9324324324324325,0.9785714285714286
sofa,insurance_cat,0.029296235679214466,Medicare,Other,0.9653846153846154,0.9946808510638299
sofa,diag_type,0.07894736842105265,Surgical,Medical,0.9210526315789473,1.0
qsofa,sex,0.09272844272844283,Female,Male,0.581081081081081,0.6738095238095239
qsofa,insurance_cat,0.20261865793780698,Medicare,Other,0.5846153846153845,0.7872340425531915
qsofa,diag_type,0.10947368421052628,Medical,Surgical,0.68,0.7894736842105263
apache2,sex,0.01550836550836554,Female,Male,0.9797297297297297,0.9952380952380953
apache2,insurance_cat,0.019230769230769273,Medicare,Other,0.9807692307692307,1.0
apache2,diag_type,0.0,Medical,Medical,1.0,1.0
news2,sex,0.07805662805662805,Female,Male,0.8243243243243243,0.9023809523809524
news2,insurance_cat,0.0977086743044191,Medicare,Other,0.8384615384615384,0.9361702127659575
news2,diag_type,0.23228070175438598,Surgical,Medical,0.6710526315789473,0.9033333333333333
