score,axis1,group1,axis2,group2,subgroup,auroc,auprc,brier,cal_slope,cal_intercept,n,prevalence,auroc_ci_lo,auroc_ci_hi
sofa,race_cat,White,sex,Female,White x Female,0.8863636363636364,0.25,0.04012619540569851,-0.28378378378378377,0.18918918918918917,23,0.043478260869565216,0.7185064935064936,1.0
sofa,race_cat,White,sex,Male,White x Male,0.9770114942528736,0.7333333333333334,0.03355300453514739,1.0316909051443457,-0.03811229288763485,32,0.09375,0.9182123655913978,1.0
sofa,race_cat,White,insurance_cat,Other,White x Other,0.9857142857142858,0.5,0.017195767195767195,1.0753623188405796,-0.07342995169082125,36,0.027777777777777776,0.9558823529411764,1.0
sofa,race_cat,White,diag_type,Surgical,White x Surgical,,,0.022348683062968777,0.0,0.0,26,0.0,,
sofa,sex,Female,insurance_cat,Other,Female x Other,1.0,1.0,0.0034643487024439393,1.0537807400597565,-0.06308894507009888,27,0.037037037037037035,1.0,1.0
sofa,sex,Male,insurance_cat,Other,Male x Other,0.9761904761904762,0.5,0.025613275613275612,0.9157275845173936,-0.029397354238118567,22,0.045454545454545456,0.925,1.0
sofa,sex,Male,insurance_cat,Medicare,Male x Medicare,0.9779411764705881,0.8875,0.0578501241766548,0.8068827263615103,0.2195121951219512,21,0.19047619047619047,0.8997368421052631,1.0
sofa,sex,Female,diag_type,Medical,Female x Medical,1.0,1.0,0.004166666666666666,1.064516129032258,-0.08064516129032256,20,0.05,1.0,1.0
sofa,sex,Male,diag_type,Surgical,Male x Surgical,0.8863636363636362,0.25,0.05447106378783397,-0.0608695652173913,0.13623188405797101,23,0.043478260869565216,0.6818181818181819,1.0
sofa,insurance_cat,Other,diag_type,Surgical,Other x Surgical,,,0.012929530786673641,0.0,0.0,26,0.0,,
qsofa,race_cat,White,sex,Female,White x Female,0.4772727272727273,0.0625,0.04465867108562851,-0.004141363436015423,0.04191867868162005,23,0.043478260869565216,0.35232142857142856,0.6307359307359305
qsofa,race_cat,White,sex,Male,White x Male,0.5747126436781609,0.10855683269476374,0.08434640125226087,,,32,0.09375,0.25806451612903225,0.7931034482758621
qsofa,race_cat,White,insurance_cat,Other,White x Other,0.7714285714285715,0.058823529411764705,0.029147980565787428,0.4833214739443943,-0.009803441431423449,36,0.027777777777777776,0.6764285714285714,0.8348529411764707
qsofa,race_cat,White,diag_type,Surgical,White x Surgical,,,0.008566232918620565,0.0,0.0,26,0.0,,
qsofa,sex,Female,insurance_cat,Other,Female x Other,0.826923076923077,0.1,0.035008244473509864,0.8216465057054703,-0.016665850433419845,27,0.037037037037037035,0.7115384615384616,0.9159615384615384
qsofa,sex,Male,insurance_cat,Other,Male x Other,0.738095238095238,0.08333333333333333,0.0436488373789567,0.6847054214212251,-0.013888208694516548,22,0.045454545454545456,0.6428571428571428,0.8333333333333334
qsofa,sex,Male,insurance_cat,Medicare,Male x Medicare,0.6764705882352942,0.27499999999999997,0.15869202414007993,,,21,0.19047619047619047,0.375,0.8753676470588234
qsofa,sex,Female,diag_type,Medical,Female x Medical,0.7368421052631579,0.09090909090909091,0.047270116119826795,0.7469513688231548,-0.015150773121290782,20,0.05,0.635279605263158,0.868421052631579
qsofa,sex,Male,diag_type,Surgical,Male x Surgical,0.75,0.08333333333333333,0.04191076160518404,0.6847054214212251,-0.013888208694516548,23,0.043478260869565216,0.642822966507177,0.8409090909090909
qsofa,insurance_cat,Other,diag_type,Surgical,Other x Surgical,,,0.007132767124114265,0.0,0.0,26,0.0,,
apache2,race_cat,White,sex,Female,White x Female,0.9545454545454545,0.3333333333333333,0.031304347826086966,,,23,0.043478260869565216,0.8907954545454545,1.0
apache2,race_cat,White,sex,Male,White x Male,0.9885057471264368,0.8666666666666667,0.022083333333333337,1.0126582278481013,-0.022151898734177222,32,0.09375,0.9509274193548387,1.0
apache2,race_cat,White,insurance_cat,Other,White x Other,1.0,1.0,0.014567901234567903,,,36,0.027777777777777776,1.0,1.0
apache2,race_cat,White,diag_type,Surgical,White x Surgical,,,0.01162393162393162,0.0,0.0,26,0.0,,
apache2,sex,Female,insurance_cat,Other,Female x Other,1.0,1.0,0.0014814814814814812,,,27,0.037037037037037035,1.0,1.0
