score,axis,metric,fair_vs_gt,fair_vs_score,rsb_gap,rsb_gap_ci_lo,rsb_gap_ci_hi
sofa,race_cat,eod,0.09901960784313729,,,,
sofa,race_cat,ppg,0.2222222222222222,0.0,0.2222222222222222,0.07136699507389162,0.5008333333333336
sofa,race_cat,cal_gap,0.15833333333333335,0.0,0.15833333333333335,0.0,0.4577777777777776
sofa,race_cat,auroc_gap,,,,,
sofa,sex,eod,0.3913770913770914,,,,
sofa,sex,ppg,0.09502262443438915,0.0,0.09502262443438915,0.01011842105263159,0.28690476190476216
sofa,sex,cal_gap,0.09722222222222222,0.0,0.09722222222222222,0.02493055555555556,0.2411052489177489
sofa,sex,auroc_gap,0.02985842985842979,,,,
sofa,age_group,eod,1.262443438914027,,,,
sofa,age_group,ppg,0.3125,0.0,0.3125,0.1111111111111111,0.5394736842105265
sofa,age_group,cal_gap,,,,0.0,0.7828571428571415
sofa,age_group,auroc_gap,,,,,
sofa,insurance_cat,eod,0.6324058919803601,,,,
sofa,insurance_cat,ppg,0.15789473684210525,0.0,0.15789473684210525,0.05256578947368421,0.3531176470588236
sofa,insurance_cat,cal_gap,0.08124999999999999,0.0,0.08124999999999999,0.0,0.3703255772005773
sofa,insurance_cat,auroc_gap,0.2327332242225859,,,,
qsofa,race_cat,eod,0.09901960784313729,0.22916666666666669,0.1301470588235294,0.016934523809523757,0.639849225464428
qsofa,race_cat,ppg,0.2222222222222222,0.07692307692307687,0.14529914529914534,2.7755575615628914e-17,0.4644209956709957
qsofa,race_cat,cal_gap,0.15833333333333335,0.041666666666666685,0.11666666666666667,1.8041124150158804e-17,0.39999999999999997
qsofa,race_cat,auroc_gap,,,,0.0029841055520165084,0.3271772662185291
qsofa,sex,eod,0.3913770913770914,0.1523809523809524,0.23899613899613903,0.015638335911982833,0.9435342960113461
qsofa,sex,ppg,0.09502262443438915,0.020361990950226283,0.07466063348416287,0.002138157894736824,0.25089285714285725
qsofa,sex,cal_gap,0.09722222222222222,0.10277777777777777,0.00555555555555555,0.006662698412698414,0.21705402236652238
qsofa,sex,auroc_gap,0.02985842985842979,0.022916666666666696,0.006941763191763095,0.012787146630439549,0.4872387549357556
qsofa,age_group,eod,1.262443438914027,1.0,0.2624434389140271,0.013899853801169527,1.1191666666666669
qsofa,age_group,ppg,0.3125,0.1428571428571429,0.1696428571428571,5.551115123125783e-17,0.4548484848484849
qsofa,age_group,cal_gap,,,,0.0,0.6000000000000001
qsofa,age_group,auroc_gap,,,,,
qsofa,insurance_cat,eod,0.6324058919803601,0.8250000000000001,0.19259410801963994,0.009567270964329688,0.9325614636935391
qsofa,insurance_cat,ppg,0.15789473684210525,0.052631578947368474,0.10526315789473678,5.516420653606247e-17,0.3001086956521739
qsofa,insurance_cat,cal_gap,0.08124999999999999,0.19747474747474747,0.11622474747474748,0.0017164502164502308,0.3042505411255412
qsofa,insurance_cat,auroc_gap,0.2327332242225859,0.4195402298850575,0.1868070056624716,0.0123980501619421,0.5792842834842514
apache2,race_cat,eod,0.09901960784313729,,,,
apache2,race_cat,ppg,0.2222222222222222,0.0,0.2222222222222222,0.07136699507389162,0.5008333333333336
apache2,race_cat,cal_gap,0.15833333333333335,0.0,0.15833333333333335,0.0,0.4577777777777776
apache2,race_cat,auroc_gap,,,,,
apache2,sex,eod,0.3913770913770914,,,,
apache2,sex,ppg,0.09502262443438915,0.0,0.09502262443438915,0.01011842105263159,0.28690476190476216
apache2,sex,cal_gap,0.09722222222222222,0.0,0.09722222222222222,0.02493055555555556,0.2411052489177489
apache2,sex,auroc_gap,0.02985842985842979,,,,
apache2,age_group,eod,1.262443438914027,,,,
apache2,age_group,ppg,0.3125,0.0,0.3125,0.1111111111111111,0.5394736842105265
apache2,age_group,cal_gap,,,,0.0,0.7828571428571415
apache2,age_group,auroc_gap,,,,,
apache2,insurance_cat,eod,0.6324058919803601,,,,
apache2,insurance_cat,ppg,0.15789473684210525,0.0,0.15789473684210525,0.05256578947368421,0.3531176470588236
apache2,insurance_cat,cal_gap,0.08124999999999999,0.0,0.08124999999999999,0.0,0.3703255772005773
apache2,insurance_cat,auroc_gap,0.2327332242225859,,,,
news2,race_cat,eod,0.09901960784313729,1.3333333333333335,1.2343137254901961,0.06167978510744628,1.5796023190232473
news2,race_cat,ppg,0.2222222222222222,0.7142857142857143,0.4920634920634921,0.035654761904761946,0.8335
news2,race_cat,cal_gap,0.15833333333333335,0.29166666666666663,0.13333333333333328,0.004116161616161636,0.4593434343434343
news2,race_cat,auroc_gap,,,,0.0035157964274414423,0.31286361709768834
news2,sex,eod,0.3913770913770914,0.2594893029675639,0.13188778840952753,0.010855875647607365,0.9304023253865926
news2,sex,ppg,0.09502262443438915,0.16742081447963808,0.07239819004524893,0.004442028985507207,0.4649671052631579
news2,sex,cal_gap,0.09722222222222222,0.2611111111111111,0.16388888888888892,0.011847041847041887,0.3751668470418472
news2,sex,auroc_gap,0.02985842985842979,0.13805498044628495,0.10819655058785516,0.006884194936504682,0.48005503403167293
news2,age_group,eod,1.262443438914027,1.8571428571428572,0.5946994182288301,0.058403786615860966,1.5189952153110053
news2,age_group,ppg,0.3125,1.0,0.6875,0.1713095238095238,0.8422064777327934
news2,age_group,cal_gap,,,,5.551115123125788e-18,0.6316666666666665
news2,age_group,auroc_gap,,,,,
news2,insurance_cat,eod,0.6324058919803601,0.8053079817785701,0.17290208979820998,0.01696391841673143,1.0376315348306333
news2,insurance_cat,ppg,0.15789473684210525,0.17105263157894735,0.01315789473684209,0.0022404188948306767,0.5345454545454547
news2,insurance_cat,cal_gap,0.08124999999999999,0.1580176767676768,0.07676767676767682,0.00775974025974025,0.3723809523809525
news2,insurance_cat,auroc_gap,0.2327332242225859,0.07595563477916412,0.1567775894434218,0.0052752420824788895,0.44074422047859524
