score,axis,auroc_gap,worst_group,best_group,worst_auroc,best_auroc
sofa,race_cat,0.1963533641499744,Other,Hispanic,0.7121212121212122,0.9084745762711866
sofa,sex,0.005244590262794224,Male,Female,0.7207776319594279,0.7260222222222221
sofa,age_group,0.29297823193172023,70-79,18-29,0.6691429801894918,0.962121212121212
sofa,diag_type,0.2912991518074327,Medical,Surgical,0.7087008481925673,1.0
qsofa,race_cat,0.2443386243386243,Other,Black,0.5185185185185186,0.7628571428571429
qsofa,sex,0.00028132561237526055,Female,Male,0.6662222222222223,0.6665035478345975
qsofa,age_group,0.20329768270944748,18-29,40-49,0.5378787878787878,0.7411764705882353
qsofa,diag_type,0.275492264416315,Cardiac,Surgical,0.6133966244725738,0.8888888888888888
apache2,race_cat,0.1927306279397123,White,Black,0.7463169911079067,0.939047619047619
apache2,sex,0.0014266407653733548,Male,Female,0.762817803679071,0.7642444444444444
apache2,age_group,0.4812206572769953,18-29,30-39,0.4166666666666667,0.897887323943662
apache2,diag_type,0.24701125175808714,Cardiac,Surgical,0.7252109704641351,0.9722222222222222
news2,race_cat,0.32093314093314096,Other,Black,0.6447811447811448,0.9657142857142857
news2,sex,0.03618241924999932,Male,Female,0.7393286918611117,0.775511111111111
news2,age_group,0.2295763760049474,18-29,50-59,0.5984848484848485,0.8280612244897959
news2,diag_type,0.28744725738396637,Cardiac,Surgical,0.7125527426160336,1.0
