score,axis1,group1,axis2,group2,subgroup,auroc,auprc,brier,cal_slope,cal_intercept,n,prevalence,auroc_ci_lo,auroc_ci_hi
sofa,race_cat,White,sex,Female,White x Female,0.726510989010989,0.2534213379516685,0.08301783157020227,1.0803798600756445,0.026527593506974242,404,0.09900990099009901,0.6408319321710664,0.7951052020286408
sofa,race_cat,White,sex,Male,White x Male,0.70859375,0.21580994524561778,0.08175527198552333,1.0234946788603871,-0.0009634063147219013,567,0.09700176366843033,0.6316233036207668,0.7822732309204208
sofa,race_cat,White,age_group,70-79,White x 70-79,0.6868197278911565,0.260695791394419,0.09750327760319662,1.3960326721771297,-0.01324805678704885,238,0.11764705882352941,0.5907840375586855,0.7771917545015371
sofa,race_cat,White,age_group,60-69,White x 60-69,0.7149797570850203,0.20737415319458663,0.056159719015986334,1.1752206740480367,-0.052593052172049876,203,0.06403940886699508,0.5572585151392999,0.8520688641948926
sofa,race_cat,White,age_group,50-59,White x 50-59,0.7776747062461348,0.4240603677568182,0.05659131211155942,1.0931946519511486,-0.03867660919934128,158,0.06962025316455696,0.6027980632343048,0.915828043437733
sofa,race_cat,White,age_group,80+,White x 80+,0.6842751842751842,0.29525981787201366,0.14374237337454396,1.325693252728631,0.06854498485306607,213,0.17370892018779344,0.5815245559264576,0.7733590733590733
sofa,race_cat,White,diag_type,Medical,White x Medical,0.7071477922241065,0.23370296901044013,0.08872026070611821,1.058287277049267,0.011869839691510883,819,0.10622710622710622,0.6521680621476611,0.7590755008974511
sofa,race_cat,White,diag_type,Cardiac,White x Cardiac,0.7820197044334976,0.15105135519882065,0.053681664926142535,0.5685705237570479,0.02084653833271405,123,0.056910569105691054,0.5973220921590486,0.9138059976422045
sofa,sex,Female,age_group,70-79,Female x 70-79,0.6249190938511328,0.2439726590119075,0.1093062886928077,0.6678819711625598,0.06630393097371243,118,0.1271186440677966,0.46023977987421383,0.7798860398860396
sofa,sex,Female,age_group,60-69,Female x 60-69,0.670625,0.14754092925048806,0.0684892391173585,0.7126112940844468,0.0098960866745611,108,0.07407407407407407,0.49499299719887957,0.8451229996949274
