feature,mean_attention
age,0.03933483
heart_rate_max,0.029387895
heart_rate_min,0.023135323
resp_rate_max,0.027006002
resp_rate_min,0.030620245
sbp_max,0.01589462
sbp_min,0.034611188
map_max,0.015134195
map_min,0.032277696
temp_max,0.023396274
temp_min,0.027136708
spo2_max,0.024271324
spo2_min,0.028219054
gcs_total,0.044632956
creatinine_max,0.030747559
bilirubin_max,0.013443133
platelets_min,0.025644178
wbc_max,0.032983333
wbc_min,0.039868195
hematocrit_max,0.027902763
hematocrit_min,0.028791096
sodium_max,0.027690275
sodium_min,0.023433391
potassium_max,0.039782517
potassium_min,0.027282435
glucose_max,0.031951606
glucose_min,0.03081087
ph_max,0.01766395
ph_min,0.0133358585
pao2_min,0.022917638
fio2_max,0.013589195
pf_ratio_min,0.034933873
o2_flow_max,0.03555122
vaso_norepinephrine,0.0032392445
vaso_norepinephrine_rate,0.003237512
vaso_epinephrine,0.0031634343
vaso_epinephrine_rate,0.0035156016
vaso_dopamine,0.003070239
vaso_dopamine_rate,0.0038459087
vaso_dobutamine,0.0038671491
vaso_dobutamine_rate,0.003484892
vaso_vasopressin,0.0035716945
vaso_vasopressin_rate,0.0030834335
vaso_phenylephrine,0.002733058
vaso_phenylephrine_rate,0.00397306
bun_max,0.02657142
albumin_min,0.019261945
