score,race,brier,auroc,n
sofa,Asian,0.08089638891712696,0.7798394391677974,1093
sofa,Black,0.07826321531845876,0.8009122310024352,9256
sofa,Hispanic,0.08614617422471561,0.7976476205223495,3565
sofa,Other,0.07948491267382082,0.7916436947640602,6347
sofa,White,0.08112914890412629,0.7756409908355331,67054
qsofa,Asian,0.3534614211649893,0.7076492537313432,1093
qsofa,Black,0.32455824450206466,0.7343966502658914,9256
qsofa,Hispanic,0.3318373071528752,0.7170139656977687,3565
qsofa,Other,0.32342489014932685,0.7404603431450925,6347
qsofa,White,0.3508896643832666,0.7153702844256603,67054
apache2,Asian,0.1180146421268757,0.8235809588421529,1093
apache2,Black,0.11384176088114506,0.826135215280884,9256
apache2,Hispanic,0.11322304022673338,0.8346767206418026,3565
apache2,Other,0.11118531509768849,0.8421847519861507,6347
apache2,White,0.11802253016089552,0.8219064040141034,67054
news2,Asian,0.21881976212259838,0.8001243781094527,1093
news2,Black,0.21686905790838376,0.8097225949671157,9256
news2,Hispanic,0.21096213183730714,0.7992555376130012,3565
news2,Other,0.20755671971009929,0.8166816328612148,6347
news2,White,0.2405610776389179,0.789574092146149,67054
