model,axis,auroc_gap,min_auroc,max_auroc
SOFA,Race,0.025271240166902187,0.7756409908355331,0.8009122310024352
QSOFA,Race,0.03281108941374922,0.7076492537313432,0.7404603431450925
APACHE2,Race,0.020278347972047306,0.8219064040141034,0.8421847519861507
NEWS2,Race,0.027107540715065714,0.789574092146149,0.8166816328612148
GRU,Race,0.020456149177869976,0.8778072094429338,0.8982633586208038
FAFT,Race,0.021871531727044813,0.8813973470419553,0.9032688787690001
SOFA,Sex,0.009430522612323466,0.7768086850508793,0.7862392076632028
QSOFA,Sex,0.019393359866297755,0.7085680067398418,0.7279613666061395
APACHE2,Sex,0.0027593975894508738,0.8230976879160805,0.8258570855055314
NEWS2,Sex,0.0077169641810743705,0.7896945576006217,0.797411521781696
GRU,Sex,0.006874071914737989,0.87626239630211,0.883136468216848
FAFT,Sex,0.004330988513732592,0.8814245819187789,0.8857555704325115
SOFA,Age,0.12937083562356289,0.7352866152486982,0.8646574508722611
QSOFA,Age,0.08256761034493354,0.6814191678707309,0.7639867782156644
APACHE2,Age,0.14683852361609673,0.7670332533217756,0.9138717769378724
NEWS2,Age,0.11425691469393573,0.7615349800698071,0.8757918947637429
GRU,Age,0.09998862864710234,0.8283625489390813,0.9283511775861837
FAFT,Age,0.1017518021986501,0.8357641702010432,0.9375159723996933
SOFA,Diagnosis,0.023664317486228992,0.7621600441362707,0.7858243616224997
QSOFA,Diagnosis,0.017585560308123416,0.7029691673040512,0.7205547276121747
APACHE2,Diagnosis,0.02608679282267523,0.8038199189999122,0.8299067118225875
NEWS2,Diagnosis,0.0576830039864864,0.7395019623086279,0.7971849662951143
GRU,Diagnosis,0.0327778995436796,0.851436936541572,0.8842148360852516
FAFT,Diagnosis,0.033934389247053165,0.8579489172821085,0.8918833065291617
