score,axis,auroc_gap,worst_group,best_group,worst_auroc,best_auroc
sofa,race_cat,0.025271240166902187,White,Black,0.7756409908355331,0.8009122310024352
sofa,sex,0.009430522612323466,Male,Female,0.7768086850508793,0.7862392076632028
sofa,age_group,0.12937083562356289,80+,18-29,0.7352866152486982,0.8646574508722611
sofa,diag_type,0.023664317486228992,Surgical,Medical,0.7621600441362707,0.7858243616224997
qsofa,race_cat,0.03281108941374922,Asian,Other,0.7076492537313432,0.7404603431450925
qsofa,sex,0.019393359866297755,Female,Male,0.7085680067398418,0.7279613666061395
qsofa,age_group,0.08256761034493354,80+,18-29,0.6814191678707309,0.7639867782156644
qsofa,diag_type,0.017585560308123416,Surgical,Medical,0.7029691673040512,0.7205547276121747
apache2,race_cat,0.019429613143346125,White,Other,0.8221393769934378,0.8415689901367839
apache2,sex,0.0027404786502440714,Male,Female,0.8232586058022688,0.8259990844525129
apache2,age_group,0.1452252641367816,80+,18-29,0.7665684195357271,0.9117936836725087
apache2,diag_type,0.026793400324976013,Surgical,Medical,0.8034161724323851,0.8302095727573611
news2,race_cat,0.027179575739589845,White,Other,0.7898573175954341,0.8170368933350239
news2,sex,0.007747299866211699,Female,Male,0.7899219488002829,0.7976692486664946
news2,age_group,0.11383009297244051,80+,18-29,0.7617869460472912,0.8756170390197318
news2,diag_type,0.05834227589657959,Surgical,Medical,0.7390004137775381,0.7973426896741177
