score,axis1,group1,axis2,group2,subgroup,auroc,auprc,brier,cal_slope,cal_intercept,n,prevalence,auroc_ci_lo,auroc_ci_hi
sofa,race_cat,White,sex,Male,White x Male,0.7730112888596765,0.26110192213778793,0.06731609105455613,0.920452718459717,0.0018577414324398717,36757,0.08224283809886553,0.7648975218583608,0.7812398747457148
sofa,race_cat,White,sex,Female,White x Female,0.7810837329827778,0.2814154080186505,0.06970663548281132,1.1808062792343754,-0.001789944400740151,30296,0.08641404805914972,0.7709090167218972,0.7900034202352926
sofa,race_cat,Other,sex,Male,Other x Male,0.787391038263842,0.28337662438016115,0.06180584840173215,0.8644667282981321,-0.005021589669426729,3670,0.07602179836512261,0.759945203829248,0.8138668820808058
sofa,race_cat,Other,sex,Female,Other x Female,0.8003413194916663,0.31361243278662,0.06395408734132056,1.0262993410495835,-0.0028350528541844777,2667,0.08098987626546682,0.7698532670968606,0.8303481112720877
sofa,race_cat,Hispanic,sex,Male,Hispanic x Male,0.7933296472904389,0.2912137520056293,0.07335785542730941,1.0848820744210559,-0.010122093449740382,1927,0.09289050337311884,0.7590823542919022,0.8285238013383543
sofa,race_cat,Hispanic,sex,Female,Hispanic x Female,0.8059754770618923,0.3124704139155024,0.07472547789016735,1.0713838475000528,0.010151833133260055,1638,0.09584859584859586,0.771327245701753,0.8383780116010264
sofa,race_cat,Black,sex,Male,Black x Male,0.7970861138573075,0.3092407804207101,0.060323581393885876,0.9570006439899561,-0.017897636424526256,4709,0.07581227436823104,0.7707999037335237,0.8229746491193985
sofa,race_cat,Black,sex,Female,Black x Female,0.8074185812111958,0.27194918160700676,0.06218295474836433,0.9917044609810682,-0.0033937254700363018,4545,0.07678767876787679,0.7862848039188173,0.8279560941196955
sofa,race_cat,Asian,sex,Male,Asian x Male,0.7634947039652363,0.24322954764777582,0.0797495546163971,0.8626394215777512,0.017735693805646255,582,0.09621993127147767,0.6984107059256287,0.8207512678186367
sofa,race_cat,Asian,sex,Female,Asian x Female,0.7897638308977035,0.24438811535012592,0.05253211492622957,1.0630706448783755,-0.01909581348166145,511,0.06262230919765166,0.6955315094634408,0.8738980055475115
sofa,race_cat,White,age_group,60-69,White x 60-69,0.7783303369491132,0.2753067902640731,0.06631052327578381,0.9715797696897467,-0.0013508900487511771,15656,0.08194941236586613,0.7653245559728303,0.7910807321658061
sofa,race_cat,White,age_group,70-79,White x 70-79,0.7534935189137586,0.28057943686109077,0.08283285692623271,1.0626053402512676,0.011047107319765478,15941,0.10281663634652782,0.7419969865349482,0.7669056348683655
sofa,race_cat,White,age_group,18-29,White x 18-29,0.877511096792669,0.22669399350098982,0.028497490817085837,0.8504870355398588,-0.027816499165190967,3006,0.031936127744510975,0.840285913247049,0.9113857509376949
sofa,race_cat,White,age_group,80+,White x 80+,0.7323598608860957,0.3039447142857717,0.10531003989249102,1.284331007215346,0.02808097078030533,11704,0.13080997949419002,0.719002921374617,0.7455475504840292
sofa,race_cat,White,age_group,50-59,White x 50-59,0.8200535917182173,0.27937480026849626,0.04915157428338593,0.9264937000271057,-0.018270601314711477,11837,0.06015037593984962,0.802613722447141,0.8358162633331054
sofa,race_cat,White,age_group,40-49,White x 40-49,0.8407726213865141,0.25508875459825675,0.03811749518724493,0.7887343711254771,-0.019009677295222446,5621,0.04429816758583882,0.8153900159730515,0.8669943968337579
sofa,race_cat,White,age_group,30-39,White x 30-39,0.8422822928803136,0.2495182447060146,0.03444697988715481,0.8999002295727867,-0.02486137139539559,3289,0.03982973548190939,0.8024706243076659,0.8804448502054297
sofa,race_cat,Other,age_group,60-69,Other x 60-69,0.7609682552417629,0.31374007475185817,0.07342082746646496,0.8718749110826041,0.008546983874035893,1339,0.09185959671396565,0.7137526986595436,0.8023775913368363
sofa,race_cat,Other,age_group,70-79,Other x 70-79,0.7889046437433533,0.2541355219840249,0.07214684427794121,0.8163743788006961,0.017719904903719302,1189,0.08746846089150546,0.7469290300117722,0.8265064815797037
sofa,race_cat,Other,age_group,18-29,Other x 18-29,0.8498493068113322,0.2255402798483487,0.02575123187065564,0.5833167579561723,-0.012613894731805651,568,0.02640845070422535,0.6998712938739918,0.9409736043209252
sofa,race_cat,Other,age_group,80+,Other x 80+,0.7061443783931823,0.3162118898940264,0.10945666492089684,1.0759338244130485,0.041301133165928164,726,0.13636363636363635,0.6470571463481652,0.7656964636346737
sofa,race_cat,Other,age_group,50-59,Other x 50-59,0.8275142393025312,0.3623867864456881,0.05552410230656482,0.9631941221414626,-0.01907361373975451,1205,0.07219917012448132,0.780735183006324,0.8719152079157149
sofa,race_cat,Other,age_group,40-49,Other x 40-49,0.8604983598663818,0.39174754482185076,0.046599078029834456,0.9676902562139338,-0.032187828014101125,754,0.0623342175066313,0.7998359059015188,0.9143632953298857
sofa,race_cat,Other,age_group,30-39,Other x 30-39,0.8653997378768021,0.2807594946470825,0.0319360346636726,0.8591824091511432,-0.034649602501836546,566,0.037102473498233215,0.7686440330685166,0.9471719782437802
sofa,race_cat,Hispanic,age_group,60-69,Hispanic x 60-69,0.769560457167272,0.2711260700337482,0.0760981136317468,0.8311988829188929,0.015637210898422363,666,0.09309309309309309,0.7096591404779108,0.8229441571479241
sofa,race_cat,Hispanic,age_group,70-79,Hispanic x 70-79,0.8014154511075096,0.3298469607031372,0.08301245381153222,1.0477602371525685,-0.008940141208262947,692,0.10838150289017341,0.7487500589177979,0.84971443260048
sofa,race_cat,Hispanic,age_group,18-29,Hispanic x 18-29,0.8119747899159664,0.15964084011116944,0.03171602463345906,0.7234781029380841,-0.017259627464042346,246,0.032520325203252036,0.5671996413628213,0.957422940130409
sofa,race_cat,Hispanic,age_group,80+,Hispanic x 80+,0.7981626141489712,0.46009977413116904,0.1246217441885806,1.90269957607488,-0.006462736478357711,718,0.16991643454038996,0.7548213423492887,0.8390815167649359
sofa,race_cat,Hispanic,age_group,50-59,Hispanic x 50-59,0.7355837789661319,0.21267754464209762,0.05842307751204399,0.7374642406763781,-0.0052549631020288035,601,0.06655574043261231,0.6403595411268046,0.8225096983977923
sofa,race_cat,Hispanic,age_group,40-49,Hispanic x 40-49,0.8303571428571429,0.2937878892948895,0.03182733933781967,0.6801949552171863,-0.011028932781437177,382,0.03664921465968586,0.7096412771918984,0.923182206338362
sofa,race_cat,Hispanic,age_group,30-39,Hispanic x 30-39,0.8741496598639455,0.39748660706427696,0.04263111875837826,1.0926303542675033,-0.030429621120428157,260,0.057692307692307696,0.7708735596387418,0.9504595143561907
