score,axis,metric,fair_vs_gt,fair_vs_score,rsb_gap,rsb_gap_ci_lo,rsb_gap_ci_hi
sofa,race_cat,eod,0.02394579161496424,0.04959946678297389,0.02565367516800965,0.012514560188888765,0.04785344007171996
sofa,race_cat,ppg,0.020258890573968277,0.0244674777793481,0.004208587205379824,0.0005258399674119521,0.03642526098828304
sofa,race_cat,cal_gap,0.014617775628097244,0.054695392462438736,0.040077616834341495,0.018696084555625287,0.09742714497574137
sofa,race_cat,auroc_gap,0.046985057828544785,0.028862014668853853,0.018123043159690932,0.0006404796454770684,0.06287518420166542
sofa,sex,eod,0.0018612913673434761,0.01335307977599276,0.011491788408649284,0.004262231502870706,0.015039878177724997
sofa,sex,ppg,0.0033325693427276454,0.04784268622716992,0.04451011688444227,0.036425828297550165,0.05172535764720765
sofa,sex,cal_gap,0.0016968114863602545,0.03699391114687284,0.03529709966051258,0.02195347230740413,0.04805989271509375
sofa,sex,auroc_gap,0.0040047271052491284,0.012948076168779687,0.008943349063530559,0.0008758471954259828,0.015816909838938423
sofa,age_group,eod,0.16098233862257005,0.27998921122926956,0.11900687260669951,0.08963842685183034,0.12859647448777242
sofa,age_group,ppg,0.10100261150955384,0.1764016147305666,0.07539900322101276,0.05807713692722278,0.09384592543460187
sofa,age_group,cal_gap,0.05650579681878996,0.14798868028275713,0.09148288346396717,0.07507256624228305,0.12859641916040712
sofa,age_group,auroc_gap,0.09423868708437078,0.06567620301610577,0.028562484068265004,0.005703986949572266,0.06283450026358284
sofa,diag_type,eod,0.011633468016880255,0.019785335696314688,0.008151867679434432,0.0005645902144546495,0.020908194641435687
sofa,diag_type,ppg,0.01954083253730364,0.00406734488142424,0.0154734876558794,0.0013828511027438085,0.021587983021332434
sofa,diag_type,cal_gap,0.012406026288475211,0.0340589622827257,0.021652935994250493,0.001971560289171931,0.05481822984152927
sofa,diag_type,auroc_gap,0.01570628027008325,0.012887764906960975,0.002818515363122276,0.0004075231701943488,0.034728937597426304
qsofa,race_cat,eod,0.02394579161496424,0.04524448643301904,0.021298694818054797,0.003582537028055752,0.04907318070828986
qsofa,race_cat,ppg,0.020258890573968277,0.04747449064666864,0.027215600072700366,0.009425352219624424,0.05328530053722931
qsofa,race_cat,cal_gap,0.014617775628097244,0.09086265853253622,0.07624488290443898,0.03038618083889896,0.14777931719108775
qsofa,race_cat,auroc_gap,0.046985057828544785,0.03888442083500199,0.008100636993542798,0.0012082748556663553,0.059017004951371646
qsofa,sex,eod,0.0018612913673434761,0.004828748110612069,0.0029674567432685928,0.00011927738787340381,0.0076977371358772735
qsofa,sex,ppg,0.0033325693427276454,0.04558609868878627,0.042253529346058624,0.035019413969450214,0.04907549143969496
qsofa,sex,cal_gap,0.0016968114863602545,0.05613326057957553,0.054436449093215274,0.04150933555092365,0.06750336068824554
qsofa,sex,auroc_gap,0.0040047271052491284,0.008408985646468636,0.004404258541219508,0.00011625817200988376,0.011477680499247451
qsofa,age_group,eod,0.16098233862257005,0.28403611400301676,0.1230537753804467,0.09387011545657067,0.13194486002639486
qsofa,age_group,ppg,0.10100261150955384,0.12515056244641032,0.024147950936856483,0.009058673230676778,0.04483641678982834
qsofa,age_group,cal_gap,0.05650579681878996,0.21648365007248838,0.1599778532536984,0.13337167558085233,0.19184105270865046
qsofa,age_group,auroc_gap,0.09423868708437078,0.049668633733563006,0.04457005335080777,0.02259783330579205,0.07807865592206312
qsofa,diag_type,eod,0.011633468016880255,0.014356534008648558,0.002723065991768303,0.00022618525903112533,0.012678449827787562
qsofa,diag_type,ppg,0.01954083253730364,0.027363613355043448,0.007822780817739808,0.00046244843772271296,0.01805010802621566
qsofa,diag_type,cal_gap,0.012406026288475211,0.03414356674211126,0.021737540453636052,0.007908095678157584,0.0505537437867974
qsofa,diag_type,auroc_gap,0.01570628027008325,0.004508203596810589,0.011198076673272661,0.00041779352031535435,0.04028031648140482
apache2,race_cat,eod,0.02394579161496424,0.022332740748809754,0.0016130508661544862,0.00023458019524777164,0.020880720541659466
apache2,race_cat,ppg,0.020258890573968277,0.049931987668274114,0.029673097094305836,0.010636751474069074,0.0592476774322472
apache2,race_cat,cal_gap,0.014617775628097244,0.04444355634448645,0.029825780716389205,0.020857977680591756,0.08221999036550857
apache2,race_cat,auroc_gap,0.046985057828544785,0.027752459893948145,0.01923259793459664,0.00044062999648198384,0.0605369637746664
apache2,sex,eod,0.0018612913673434761,0.0009631764673023735,0.0008981149000411026,7.707433866250002e-05,0.005188462249860403
apache2,sex,ppg,0.0033325693427276454,0.023837030568791717,0.020504461226064072,0.0135380660178219,0.026696904993490936
apache2,sex,cal_gap,0.0016968114863602545,0.019604267926911126,0.017907456440550872,0.009012917066892372,0.027621695697076246
apache2,sex,auroc_gap,0.0040047271052491284,0.0027756307264077407,0.0012290963788413878,0.0001774634650501317,0.01101733404636041
apache2,age_group,eod,0.16098233862257005,0.2117867742230234,0.050804435600453335,0.02537827578217583,0.06126371879628869
apache2,age_group,ppg,0.10100261150955384,0.4532225887396085,0.3522199772300547,0.3378639728732302,0.3698343312331218
apache2,age_group,cal_gap,0.05650579681878996,0.36902127019370046,0.3125154733749105,0.2836053028282884,0.35886453081422054
apache2,age_group,auroc_gap,0.09423868708437078,0.10378835903148587,0.00954967194711509,0.0008375335690691517,0.03090882628916986
apache2,diag_type,eod,0.011633468016880255,0.009754564008102928,0.0018789040087773268,0.00016321662534791174,0.011437602990683486
apache2,diag_type,ppg,0.01954083253730364,0.02966109031933306,0.010120257782029421,0.0004713192437219991,0.02730239030353822
apache2,diag_type,cal_gap,0.012406026288475211,0.03153312109346636,0.019127094804991147,0.00788795864009988,0.04038676015640783
apache2,diag_type,auroc_gap,0.01570628027008325,0.0058305939117632155,0.009875686358320035,0.00029454842884275325,0.03782440772886583
news2,race_cat,eod,0.02394579161496424,0.032686927570222846,0.008741135955258605,0.0011999779625431976,0.032751658057157254
