score,axis,metric,fair_vs_gt,fair_vs_score,rsb_gap,rsb_gap_ci_lo,rsb_gap_ci_hi
sofa,race_cat,eod,0.08338987775695206,0.09504566408044166,0.011655786323489598,0.0006357661150352427,0.049300184379898145
sofa,race_cat,ppg,0.02772632026481217,0.040865269904376555,0.013138949639564385,0.0006974945083472337,0.033967632451027976
sofa,race_cat,cal_gap,0.020280786335608616,0.04119985449568359,0.020919068160074977,0.007795156867316693,0.04724215398635583
sofa,race_cat,auroc_gap,0.021871531727044813,0.03063221962897833,0.008760687901933517,0.0006251353745515915,0.038553002525707064
sofa,race_cat,ece_gap,0.018001534400939267,0.025746201611234087,0.00774466721029482,0.0002822336977854216,0.030329790054912716
sofa,sex,eod,0.03744543109144988,0.10288288307623328,0.0654374519847834,0.05411813725160098,0.07545426651770609
sofa,sex,ppg,0.0016760139175232835,0.04985717540890289,0.048181161491379604,0.03909166116661052,0.05509145540153737
sofa,sex,cal_gap,0.001744435571205139,0.06476024728322019,0.06301581171201505,0.055861793168121614,0.06710238372599014
sofa,sex,auroc_gap,0.004330988513732592,0.004292965999719289,3.802251401330281e-05,5.590986129215547e-05,0.009013000483943772
sofa,sex,ece_gap,0.00973349647353236,0.05904431660715942,0.04931082013362706,0.042867392047207686,0.055708184983647255
sofa,age_group,eod,0.5236077209800141,0.8243462902824482,0.30073856930243414,0.25354664959847756,0.32723669061918664
sofa,age_group,ppg,0.0661905506737389,0.08834939447845847,0.022158843804719566,0.003863960812111555,0.05109553177825433
sofa,age_group,cal_gap,0.024691490269825117,0.09724325638581685,0.07255176611599173,0.05714142000171465,0.08593279023287193
sofa,age_group,auroc_gap,0.1017518021986501,0.0564078090760356,0.0453439931226145,0.026636297752300673,0.06836578665118667
sofa,age_group,ece_gap,0.1669686565274163,0.07427018265001495,0.09269847387740135,0.07471245460663105,0.10430593744864676
sofa,diag_type,eod,0.09573272186729526,0.13088985605144718,0.03515713418415192,0.0045401258597940475,0.06338010622327749
sofa,diag_type,ppg,0.030676629742416472,0.016655851178888126,0.014020778563528347,0.0007281443781359698,0.03142430848583249
sofa,diag_type,cal_gap,0.011213806370366407,0.029980514489892068,0.01876670811952566,0.011183976942160329,0.031645228776685505
sofa,diag_type,auroc_gap,0.033934389247053165,0.024625540750394803,0.009308848496658362,0.00053835331195691,0.03394707946221698
sofa,diag_type,ece_gap,0.02924131987507908,0.04036655809371503,0.011125238218635952,0.0028028515620177985,0.019356777336606498
qsofa,race_cat,eod,0.08338987775695206,0.05548010516159099,0.027909772595361065,0.0009733940948517534,0.0640515273778035
