score,axis,metric,fair_vs_gt,fair_vs_score,rsb_gap,rsb_gap_ci_lo,rsb_gap_ci_hi
sofa,race_cat,eod,0.08462397414340794,0.1376957210958769,0.05307174695246897,0.002436314352322289,0.06200202685031244
sofa,race_cat,ppg,0.025714519054178903,0.04526809947352228,0.01955358041934338,0.0008916603449411344,0.03603393227334677
sofa,race_cat,cal_gap,0.024191572822900825,0.05287915749239912,0.028687584669498292,0.013748785265080792,0.04900635606141739
sofa,race_cat,auroc_gap,0.020456149177869976,0.030803724998245352,0.010347575820375376,0.0005048902787902766,0.035451222253370954
sofa,race_cat,ece_gap,0.023624084075154844,0.03273561315930679,0.009111529084151943,0.0010116065877287792,0.03336280348255406
sofa,sex,eod,0.02251291361542107,0.08375578410237428,0.061242870486953205,0.049135926979169305,0.06951860860362619
sofa,sex,ppg,0.0016343696839039024,0.05140896618094326,0.04977459649703936,0.040342338329243735,0.057137475431758254
sofa,sex,cal_gap,0.0031412610403435738,0.05707999688500298,0.053938735844659406,0.047223277359658,0.058869768079625906
sofa,sex,auroc_gap,0.006874071914737989,0.009304519389556787,0.0024304474748187976,0.00011933966590490234,0.01138094525859676
sofa,sex,ece_gap,0.00583297150452719,0.055143791638154305,0.049310820133627115,0.042867392047207756,0.05570818498364722
sofa,age_group,eod,0.7061815057615185,1.0793463780138555,0.37316487225233697,0.31024474176399813,0.40579136067168553
sofa,age_group,ppg,0.03787623282525515,0.13827894893602932,0.10040271611077417,0.07026971072487545,0.127437887758004
sofa,age_group,cal_gap,0.024614250141519987,0.21306498017822859,0.1884507300367086,0.16858618950597912,0.201998682613478
sofa,age_group,auroc_gap,0.09998862864710234,0.0602825926549212,0.03970603599218114,0.019114627604108946,0.07078347313148137
sofa,age_group,ece_gap,0.23848843638045383,0.14550862996416533,0.0929798064162885,0.07685737586383865,0.10959129389136318
sofa,diag_type,eod,0.06547308932111001,0.0803361107325222,0.014863021411412186,0.0005922046901655841,0.04430022291443073
sofa,diag_type,ppg,0.03718384300947156,0.0255082192303292,0.011675623779142358,0.0005820500456936669,0.030721818040342158
sofa,diag_type,cal_gap,0.01536459819950386,0.036485473523459586,0.021120875323955728,0.01159893810128719,0.031675027723853603
sofa,diag_type,auroc_gap,0.0327778995436796,0.026840898204658403,0.005937001339021197,0.0006069250445884441,0.03548741408419151
