score,threshold,axis,group,sensitivity,specificity,ppv,npv,n,prevalence,positive_rate
sofa,2,overall,overall,0.9097289115178203,0.4077553467919248,0.12238286528813935,0.980297933685728,87315,0.08322739506384928,0.6186680410009735
sofa,2,race_cat,White,0.904449565679844,0.4085454219790598,0.12316234158117079,0.9789691365250303,67054,0.08412622662331852,0.6177856652846959
sofa,2,race_cat,Other,0.9153225806451613,0.41360451204922233,0.11685971685971686,0.9829406986190089,6347,0.07814715613675752,0.6121002048211753
sofa,2,race_cat,Hispanic,0.9404761904761905,0.4053886652214308,0.1413237924865832,0.9849510910458992,3565,0.09424964936886396,0.6272089761570827
sofa,2,race_cat,Black,0.9320113314447592,0.40093567251461987,0.11384083044982699,0.9861910241657077,9256,0.07627484874675886,0.6244598098530683
sofa,2,race_cat,Asian,0.9204545454545454,0.39104477611940297,0.11688311688311688,0.9825,1093,0.08051235132662397,0.6340347666971637
sofa,2,sex,Male,0.9121725731895224,0.3846312084295216,0.11655455291222314,0.9800815375655213,47645,0.0817294574456921,0.6396264036100325
sofa,2,sex,Female,0.9068801897983393,0.43549676174727847,0.1299010237458052,0.9805162571357657,39657,0.08502912474468569,0.593615250775399
sofa,2,age_group,60-69,0.9118522930315665,0.39775757905622383,0.12154652270562083,0.9801502145922747,20052,0.08373229603032116,0.6281667664073409
sofa,2,age_group,70-79,0.9097706879361914,0.36449561780374634,0.14126480377738215,0.972341075794621,19463,0.10306735857781431,0.6637722858757643
sofa,2,age_group,18-29,0.9323308270676691,0.5102862254025045,0.05358686257562662,0.9960715844609341,4605,0.028881650380021717,0.5024972855591748
sofa,2,age_group,80+,0.8996262680192205,0.33073066491329006,0.17144892144892146,0.9553656220322887,14040,0.1334045584045584,0.7
sofa,2,age_group,50-59,0.9253279515640767,0.4340456890198968,0.09791777896422851,0.9887074622310392,15918,0.062256564895087324,0.588327679356703
sofa,2,age_group,40-49,0.9064171122994652,0.48272762296134586,0.07762766201053355,0.9907749077490775,8161,0.045827717191520644,0.5351059919127558
sofa,2,age_group,30-39,0.9004739336492891,0.4984583761562179,0.07224334600760456,0.991414554374489,5076,0.04156816390858944,0.5181245074862096
sofa,2,diag_type,Cardiac,0.8954703832752613,0.4062517047624243,0.10559618703262388,0.9802553639594577,19766,0.07259941313366387,0.6156531417585753
sofa,2,diag_type,Medical,0.9134159679183376,0.40865393034128916,0.1292127588251979,0.9800520745842433,62593,0.08764558337194255,0.619574073778218
sofa,2,diag_type,Surgical,0.9104046242774566,0.40260303687635574,0.10263929618768329,0.9835718071012188,4956,0.06981436642453591,0.6192493946731235
sofa,6,overall,overall,0.5387367551947159,0.8345242854287428,0.2281335586504283,0.952219403027625,87315,0.08322739506384928,0.19654125866116934
sofa,6,race_cat,White,0.5245523843290196,0.837477407063651,0.22867078825347759,0.950437964297594,67054,0.08412622662331852,0.1929787932114415
sofa,6,race_cat,Other,0.592741935483871,0.8217398735258931,0.2198952879581152,0.9596806387225549,6347,0.07814715613675752,0.21065070111863873
sofa,6,race_cat,Hispanic,0.5833333333333334,0.8268813874264478,0.2596026490066225,0.9501779359430605,3565,0.09424964936886396,0.211781206171108
sofa,6,race_cat,Black,0.5934844192634561,0.824093567251462,0.21788871554862194,0.9608618573571526,9256,0.07627484874675886,0.2077571305099395
sofa,6,race_cat,Asian,0.5340909090909091,0.8417910447761194,0.22815533980582525,0.9537767756482526,1093,0.08051235132662397,0.18847209515096067
sofa,6,sex,Male,0.5719054956343091,0.8125757125551416,0.2135801285125156,0.9552098446988017,47645,0.0817294574456921,0.2188477279882464
sofa,6,sex,Female,0.5005931198102017,0.8609618299572827,0.25070548046933017,0.9488519013485603,39657,0.08502912474468569,0.16978087096855538
sofa,6,age_group,60-69,0.5634306134603931,0.813367441354161,0.21622857142857144,0.9532436052816228,20052,0.08373229603032116,0.21818272491522042
sofa,6,age_group,70-79,0.5304087736789631,0.8125107406770923,0.24533087387595112,0.9377231257437525,19463,0.10306735857781431,0.22283306787237322
sofa,6,age_group,18-29,0.6165413533834586,0.899597495527728,0.1544256120527307,0.9874815905743741,4605,0.028881650380021717,0.11530944625407166
sofa,6,age_group,80+,0.43085958355579285,0.8478671817210487,0.3036117381489842,0.9063433491477771,14040,0.1334045584045584,0.1893162393162393
sofa,6,age_group,50-59,0.6296670030272452,0.8284986936423929,0.19597989949748743,0.9711795193968902,15918,0.062256564895087324,0.20002512878502324
sofa,6,age_group,40-49,0.6684491978609626,0.8595094388082702,0.18601190476190477,0.9818101804312748,8161,0.045827717191520644,0.16468570028182822
sofa,6,age_group,30-39,0.6729857819905213,0.8787255909558068,0.19398907103825136,0.9841160220994475,5076,0.04156816390858944,0.14420803782505912
sofa,6,diag_type,Cardiac,0.6006968641114983,0.7869728874584038,0.18082651562827776,0.9617974531635443,19766,0.07259941313366387,0.24117170899524437
sofa,6,diag_type,Medical,0.5260663507109005,0.8506487821107745,0.2528252299605782,0.9491969205517996,62593,0.08764558337194255,0.18236863547042
sofa,6,diag_type,Surgical,0.48265895953757226,0.8238611713665943,0.17058222676200205,0.9549911993965301,4956,0.06981436642453591,0.19753833736884585
sofa,11,overall,overall,0.10692170083941104,0.9907680391764941,0.512532981530343,0.9243580927516638,87315,0.08322739506384928,0.01736242340949436
sofa,11,race_cat,White,0.09643680198546357,0.9918095517235764,0.5195797516714422,0.9227809171754511,67054,0.08412622662331852,0.015614281027231783
sofa,11,race_cat,Other,0.16330645161290322,0.9868398564347974,0.5126582278481012,0.9329455485538859,6347,0.07814715613675752,0.024893650543563888
sofa,11,race_cat,Hispanic,0.12797619047619047,0.9873025704552493,0.5119047619047619,0.9158287848319449,3565,0.09424964936886396,0.02356241234221599
sofa,11,race_cat,Black,0.14305949008498584,0.9871345029239766,0.4786729857819905,0.9331122166943062,9256,0.07627484874675886,0.022796024200518582
sofa,11,race_cat,Asian,0.09090909090909091,0.9920398009950249,0.5,0.9257195914577531,1093,0.08051235132662397,0.01463860933211345
sofa,11,sex,Male,0.12403697996918336,0.9890059655779296,0.5010373443983402,0.9269295859128982,47645,0.0817294574456921,0.020232973029698814
sofa,11,sex,Female,0.08718861209964412,0.9928896238114924,0.532608695652174,0.921288837744534,39657,0.08502912474468569,0.01391935849913004
sofa,11,age_group,60-69,0.13043478260869565,0.9897675937517009,0.538083538083538,0.9256808348180199,20052,0.08373229603032116,0.020297227209255933
sofa,11,age_group,70-79,0.08424725822532403,0.9915220255484906,0.5331230283911672,0.9040530659145514,19463,0.10306735857781431,0.01628731439140934
sofa,11,age_group,18-29,0.14285714285714285,0.9921735241502684,0.35185185185185186,0.974950560316414,4605,0.028881650380021717,0.011726384364820847
sofa,11,age_group,80+,0.05018686599038975,0.9949042491986521,0.6025641025641025,0.871866897147796,14040,0.1334045584045584,0.011111111111111112
sofa,11,age_group,50-59,0.17255297679112008,0.9893481610504455,0.5181818181818182,0.947395432383885,15918,0.062256564895087324,0.020731247644176404
sofa,11,age_group,40-49,0.1925133689839572,0.9871580839861307,0.4186046511627907,0.9621980222806359,8161,0.045827717191520644,0.02107584854797206
sofa,11,age_group,30-39,0.15639810426540285,0.990339157245632,0.4125,0.9643714971977582,5076,0.04156816390858944,0.015760441292356184
sofa,11,diag_type,Cardiac,0.11707317073170732,0.9914898259778517,0.5185185185185185,0.9348318074272194,19766,0.07259941313366387,0.01639178387129414
sofa,11,diag_type,Medical,0.1057236602260299,0.9904565114609417,0.5155555555555555,0.9201861130994989,62593,0.08764558337194255,0.01797325579537648
sofa,11,diag_type,Surgical,0.0838150289017341,0.9917570498915401,0.43283582089552236,0.9351605645326243,4956,0.06981436642453591,0.013518966908797418
qsofa,1,overall,overall,0.9856887298747764,0.11485608634819108,0.09181332273735211,0.9888147988814799,87315,0.08322739506384928,0.8935119967932199
qsofa,1,race_cat,White,0.9861726644212019,0.11031866217250419,0.09240710287204532,0.9886181234495841,67054,0.08412622662331852,0.8977987890357025
qsofa,1,race_cat,Other,0.9818548387096774,0.13399418902751667,0.08768455167446886,0.9886506935687264,6347,0.07814715613675752,0.8750590830313534
qsofa,1,race_cat,Hispanic,0.9821428571428571,0.1418395788169712,0.10641728474685586,0.9870689655172413,3565,0.09424964936886396,0.8698457223001402
qsofa,1,race_cat,Black,0.9858356940509915,0.1247953216374269,0.08509597750336227,0.9907149489322191,9256,0.07627484874675886,0.8836430423509075
qsofa,1,race_cat,Asian,0.9886363636363636,0.10945273631840796,0.08859470468431772,0.990990990990991,1093,0.08051235132662397,0.898444647758463
qsofa,1,sex,Male,0.9848484848484849,0.1297798907453544,0.0915099742292641,0.9897158793794666,47645,0.0817294574456921,0.8795886241998111
qsofa,1,sex,Female,0.9866548042704626,0.09670662808322998,0.09215300667534554,0.9873382104670794,39657,0.08502912474468569,0.9103815215472678
qsofa,1,age_group,60-69,0.9857057772483622,0.11767267185544004,0.0926340535094593,0.9890210430009149,20052,0.08373229603032116,0.890983443048075
qsofa,1,age_group,70-79,0.985543369890329,0.10408432147562582,0.1122211500255435,0.9842903575297941,19463,0.10306735857781431,0.9051533679288907
qsofa,1,age_group,18-29,0.9924812030075187,0.13640429338103757,0.033049574361542315,0.9983633387888707,4605,0.028881650380021717,0.8673181324647122
qsofa,1,age_group,80+,0.9866524292578751,0.0829292348154845,0.14208826695371368,0.9758220502901354,14040,0.1334045584045584,0.9263532763532764
qsofa,1,age_group,50-59,0.9828456104944501,0.1263482280431433,0.06949696753478415,0.9910667367314766,15918,0.062256564895087324,0.8804498052519161
qsofa,1,age_group,40-49,0.9812834224598931,0.13329908822396302,0.051573917931422145,0.9933014354066986,8161,0.045827717191520644,0.8719519666707511
qsofa,1,age_group,30-39,0.995260663507109,0.1381294964028777,0.04769475357710652,0.9985141158989599,5076,0.04156816390858944,0.8674152876280535
qsofa,1,diag_type,Cardiac,0.9818815331010453,0.11614205444329279,0.08000681392311623,0.9879350348027842,19766,0.07259941313366387,0.8909744004856824
qsofa,1,diag_type,Medical,0.9866934013853446,0.11543243385224228,0.09678515233872122,0.9890472618154539,62593,0.08764558337194255,0.8935184445545029
qsofa,1,diag_type,Surgical,0.9855491329479769,0.10260303687635575,0.07615006699419384,0.9895397489539749,4956,0.06981436642453591,0.9035512510088781
qsofa,2,overall,overall,0.8610155497454245,0.46412152708374976,0.12729640103350762,0.9735338818720193,87315,0.08322739506384928,0.5629387848594171
qsofa,2,race_cat,White,0.8642084736748803,0.4551479328480941,0.12716506677796327,0.9733268333449404,67054,0.08412622662331852,0.5717183165806663
qsofa,2,race_cat,Other,0.8689516129032258,0.5040164074517176,0.12931293129312932,0.9784339747843398,6347,0.07814715613675752,0.5251299826689775
qsofa,2,race_cat,Hispanic,0.8244047619047619,0.48157324248993494,0.14197847257816504,0.9634448574969021,3565,0.09424964936886396,0.54726507713885
qsofa,2,race_cat,Black,0.8441926345609065,0.4957894736842105,0.12145914000407582,0.9747068291561278,9256,0.07627484874675886,0.5301426101987899
qsofa,2,race_cat,Asian,0.8863636363636364,0.454726368159204,0.12460063897763578,0.9785867237687366,1093,0.08051235132662397,0.5727355901189387
qsofa,2,sex,Male,0.8628659476117103,0.48712029439327104,0.1302376061087639,0.9755561658884921,47645,0.0817294574456921,0.5414838912792528
qsofa,2,sex,Female,0.8588374851720048,0.43629599007854486,0.12402569593147751,0.9708100815600662,39657,0.08502912474468569,0.5887989510048667
qsofa,2,age_group,60-69,0.8582489577129243,0.47188809666358245,0.1293072505384063,0.9732824427480916,20052,0.08373229603032116,0.5557550369040495
qsofa,2,age_group,70-79,0.8514456630109671,0.45345706593343643,0.15183571873055382,0.9637204772339908,19463,0.10306735857781431,0.5779684529620305
qsofa,2,age_group,18-29,0.8872180451127819,0.4950805008944544,0.049663299663299666,0.9932705248990579,4605,0.028881650380021717,0.5159609120521172
qsofa,2,age_group,80+,0.8622530699412707,0.3946741185173009,0.17984409799554565,0.9490118577075098,14040,0.1334045584045584,0.6396011396011396
qsofa,2,age_group,50-59,0.8738647830474269,0.47879681114758493,0.10016192458940551,0.9828107810781078,15918,0.062256564895087324,0.5431586882774218
qsofa,2,age_group,40-49,0.8770053475935828,0.5013484011814563,0.07789123723581097,0.9883544303797468,8161,0.045827717191520644,0.5159906874157578
qsofa,2,age_group,30-39,0.8578199052132701,0.5136690647482014,0.07106399685904986,0.9881376037959668,5076,0.04156816390858944,0.50177304964539
qsofa,2,diag_type,Cardiac,0.8501742160278746,0.4814249086247341,0.1137423084094723,0.9762168141592921,19766,0.07259941313366387,0.5426489932206819
qsofa,2,diag_type,Medical,0.8652934742982137,0.458525224578423,0.13308475146485743,0.9725523696330411,62593,0.08764558337194255,0.5698560541913632
qsofa,2,diag_type,Surgical,0.838150289017341,0.46464208242950106,0.10514865844815083,0.9745222929936306,4956,0.06981436642453591,0.556497175141243
apache2,15,overall,overall,0.8857850557313884,0.5478962622426544,0.15100757735707415,0.9814267812388113,87315,0.08322739506384928,0.4881979041401821
