score,age_group,optimal_threshold,sensitivity,specificity,j_stat,auroc,n,mortality_rate,overall_threshold,sens_at_overall,spec_at_overall
sofa,18-29,4.0,0.8796992481203008,0.7477638640429338,0.6274631121632346,0.8646574508722611,4605,0.028881650380021717,4.0,0.8796992481203008,0.7477638640429338
sofa,30-39,5.0,0.7393364928909952,0.813360739979445,0.5526972328704403,0.8403228399000502,5076,0.04156816390858944,4.0,0.8151658767772512,0.7266187050359711
sofa,40-49,4.0,0.8262032085561497,0.7114421471683575,0.5376453557245071,0.8370355707338916,8161,0.045827717191520644,4.0,0.8262032085561497,0.7114421471683575
sofa,50-59,4.0,0.8304742684157417,0.6620218396194815,0.49249610803522303,0.8179444030913445,15918,0.062256564895087324,4.0,0.8304742684157417,0.6620218396194815
sofa,60-69,4.0,0.7784395473496128,0.644369455178795,0.4228090025284077,0.7765981797291888,20052,0.08373229603032116,4.0,0.7784395473496128,0.644369455178795
sofa,70-79,4.0,0.7562313060817547,0.6433522369250158,0.39958354300677046,0.7595445747308684,19463,0.10306735857781431,4.0,0.7562313060817547,0.6433522369250158
sofa,80+,4.0,0.6994127068873465,0.668200871209008,0.3676135780963543,0.7352866152486982,14040,0.1334045584045584,4.0,0.6994127068873465,0.668200871209008
qsofa,18-29,2.0,0.8872180451127819,0.49508050089445443,0.38229854600723634,0.7639867782156644,4605,0.028881650380021717,2.0,0.8872180451127819,0.49508050089445443
qsofa,30-39,2.0,0.8578199052132701,0.5136690647482014,0.3714889699614714,0.740150411830319,5076,0.04156816390858944,2.0,0.8578199052132701,0.5136690647482014
qsofa,40-49,2.0,0.8770053475935828,0.5013484011814563,0.378353748775039,0.7510644368888502,8161,0.045827717191520644,2.0,0.8770053475935828,0.5013484011814563
qsofa,50-59,2.0,0.8738647830474269,0.4787968111475849,0.35266159419501175,0.7342995244194468,15918,0.062256564895087324,2.0,0.8738647830474269,0.4787968111475849
qsofa,60-69,2.0,0.8582489577129243,0.47188809666358245,0.33013705437650676,0.7245357413432658,20052,0.08373229603032116,2.0,0.8582489577129243,0.47188809666358245
qsofa,70-79,2.0,0.8514456630109671,0.4534570659334365,0.30490272894440373,0.7072876432854156,19463,0.10306735857781431,2.0,0.8514456630109671,0.4534570659334365
qsofa,80+,2.0,0.8622530699412707,0.39467411851730094,0.25692718845857154,0.6814191678707309,14040,0.1334045584045584,2.0,0.8622530699412707,0.39467411851730094
apache2,18-29,21.0,0.7969924812030075,0.9174865831842576,0.7144790643872652,0.9138717769378724,4605,0.028881650380021717,19.0,0.8345864661654135,0.8776833631484794
apache2,30-39,18.0,0.7488151658767772,0.8602261048304214,0.6090412707071986,0.8662094562670785,5076,0.04156816390858944,19.0,0.7156398104265402,0.880781089414183
apache2,40-49,19.0,0.7219251336898396,0.8521895466803647,0.5741146803702044,0.8618122278389391,8161,0.045827717191520644,19.0,0.7219251336898396,0.8521895466803647
apache2,50-59,18.0,0.751765893037336,0.7643196891538823,0.5160855821912183,0.8370535124284975,15918,0.062256564895087324,19.0,0.7194752774974773,0.795940242513566
apache2,60-69,19.0,0.7385348421679571,0.7383116529690306,0.4768464951369875,0.8117195692062701,20052,0.08373229603032116,19.0,0.7385348421679571,0.7383116529690306
apache2,70-79,21.0,0.6964107676969092,0.7590651314658876,0.45547589916279696,0.7962868569065102,19463,0.10306735857781431,19.0,0.7701894317048853,0.6742281033396345
apache2,80+,21.0,0.6337426588360918,0.7707734034683982,0.4045160623044901,0.7670332533217756,14040,0.1334045584045584,19.0,0.7234383342231714,0.6751869811785978
news2,18-29,14.0,0.7368421052631579,0.8770125223613596,0.6138546276245176,0.8757918947637429,4605,0.028881650380021717,12.0,0.8345864661654135,0.7618515205724508
news2,30-39,12.0,0.7725118483412322,0.7780061664953751,0.5505180148366073,0.8579329089199865,5076,0.04156816390858944,12.0,0.7725118483412322,0.7780061664953751
news2,40-49,12.0,0.7540106951871658,0.7588288172595351,0.5128395124467009,0.8293838146533815,8161,0.045827717191520644,12.0,0.7540106951871658,0.7588288172595351
news2,50-59,12.0,0.7507568113017155,0.7283446104374622,0.4791014217391778,0.810589402566422,15918,0.062256564895087324,12.0,0.7507568113017155,0.7283446104374622
news2,60-69,12.0,0.7236450268016676,0.7167038589234203,0.4403488857250879,0.793430875711754,20052,0.08373229603032116,12.0,0.7236450268016676,0.7167038589234203
news2,70-79,12.0,0.7033898305084746,0.7167325428194993,0.420122373327974,0.7824550493561419,19463,0.10306735857781431,12.0,0.7033898305084746,0.7167325428194993
news2,80+,12.0,0.6769887880405766,0.7156242294731652,0.3926130175137419,0.7615349800698071,14040,0.1334045584045584,12.0,0.6769887880405766,0.7156242294731652
