score,hospitalid,n,race_auroc_gap,worst_race,best_race,n_races_with_data
sofa,118,4156,0.0733767241073644,Asian,Black,5
sofa,83,788,0.1373971861471862,White,Other,3
sofa,77,579,0.5384615384615384,Black,Other,3
sofa,89,1005,0.2549297033241986,White,Black,3
sofa,168,251,0.1902292347665745,Other,White,2
sofa,138,1212,0.17067073769968188,White,Black,2
sofa,174,2130,0.2267332123411978,Black,Other,4
sofa,169,273,0.3363095238095238,Other,Black,3
sofa,98,505,0.12282523522096866,White,Other,4
sofa,105,495,0.6926000574310962,Other,Hispanic,3
sofa,76,1244,0.1460778399475291,Black,Hispanic,5
sofa,116,988,0.1009403585464268,White,Other,4
sofa,5,372,0.1398571428571429,Hispanic,Other,3
sofa,119,294,0.19073083778966127,White,Black,3
sofa,79,1472,0.44385758998435043,Hispanic,Black,5
sofa,171,918,0.5340425531914894,Asian,Other,4
sofa,161,2662,0.31916731054020986,Hispanic,Black,5
sofa,128,1006,0.13247863247863256,Hispanic,Black,4
sofa,147,820,0.008328170373461119,White,Black,3
sofa,112,1242,0.3644230769230769,Other,Black,4
sofa,32,862,0.05615942028985499,Hispanic,Black,4
sofa,55,1819,0.19518518518518513,Other,Asian,5
sofa,17,286,0.062129629629629646,White,Other,2
sofa,136,618,0.3090909090909091,Other,Hispanic,3
sofa,109,594,0.23076923076923073,Other,Black,4
sofa,10,696,0.08599534656519958,White,Black,2
sofa,204,1141,0.5504488680718189,Hispanic,Black,4
sofa,117,217,0.3366013071895425,Black,White,2
sofa,70,2637,0.14043209876543206,Other,Asian,4
sofa,160,270,0.2155257936507936,White,Asian,4
sofa,62,1327,0.1707184971890855,Other,Black,4
sofa,16,257,0.007489468351730366,Black,White,2
sofa,199,536,0.491079411987573,Other,Black,3
sofa,54,959,0.1736606915668315,White,Black,3
sofa,100,2062,0.2445924964212186,White,Other,4
sofa,14,772,0.09692118226600999,White,Hispanic,3
sofa,21,2314,0.13355234612285372,Hispanic,Other,4
sofa,99,391,0.17686964949119677,White,Hispanic,3
sofa,71,156,0.1483899594320487,White,Black,2
sofa,24,857,0.2486664295874822,Hispanic,Other,5
sofa,200,340,0.25617283950617287,Other,Hispanic,5
sofa,189,582,0.2733333333333333,Asian,Hispanic,5
sofa,60,499,0.23758865248226946,Black,Hispanic,5
sofa,26,678,0.32399088253518626,White,Hispanic,5
sofa,133,977,0.10515873015873023,Asian,Other,5
sofa,27,801,0.24278846153846156,Black,Other,3
sofa,8,373,0.12469595621769525,Black,White,2
sofa,194,2196,0.1715332120318913,White,Asian,4
sofa,176,2508,0.13162469501568497,White,Asian,4
sofa,39,1291,0.1734353495733555,White,Other,3
sofa,101,375,0.18821721311475403,White,Black,2
sofa,19,3739,0.12015676728002977,Black,Other,5
sofa,94,173,0.2744360902255639,White,Other,3
sofa,145,484,0.10726727584237583,Black,Other,3
sofa,40,298,0.2990283400809717,White,Black,2
sofa,185,1636,0.052588639430744766,Black,Other,3
sofa,159,684,0.0994685158939057,White,Other,3
sofa,166,669,0.11856884057971007,White,Black,2
sofa,157,1277,0.17487684729064046,Asian,Black,4
sofa,64,494,0.21803959131545347,Asian,Black,4
sofa,125,434,0.03363970588235299,Black,White,2
sofa,92,422,0.07381847101002081,Black,White,3
sofa,13,966,0.17158469945355204,Other,Asian,4
sofa,37,718,0.217192118226601,White,Asian,4
sofa,139,641,0.021563029318804938,Black,White,2
sofa,135,439,0.5885416666666667,Asian,Black,4
sofa,51,107,0.31036435041852994,Other,White,2
sofa,18,1402,0.2666377192239262,Black,Other,4
sofa,181,441,0.09090909090909094,Hispanic,Other,4
sofa,196,2613,0.14849792896809333,White,Black,4
sofa,47,837,0.03157289390464646,Black,White,2
sofa,188,2985,0.27871621621621623,Hispanic,Black,4
sofa,2,1240,0.397198731501057,Other,Hispanic,4
sofa,49,440,0.004434589800443534,Black,White,2
sofa,35,909,0.12270998710226433,Other,White,2
sofa,146,706,0.03480559962149676,White,Other,2
sofa,30,503,0.34444444444444444,Hispanic,Other,4
sofa,195,204,0.06423656858439453,White,Black,2
qsofa,118,4156,0.13398251192368849,Asian,Other,5
qsofa,83,788,0.21833333333333338,Other,Hispanic,3
qsofa,77,579,0.2622377622377623,Black,Other,3
qsofa,89,1005,0.24674908424908426,Other,Black,3
qsofa,168,251,0.13103469952225288,White,Other,2
qsofa,138,1212,0.07776084585108423,White,Black,2
qsofa,174,2130,0.2823275862068966,Asian,Other,4
qsofa,169,273,0.6166544566544567,Other,White,3
qsofa,98,505,0.09163595686811177,White,Other,4
qsofa,105,495,0.12634978077668535,Hispanic,White,3
qsofa,76,1244,0.31325757575757585,Asian,Other,5
qsofa,116,988,0.2857238876193037,Hispanic,Other,4
qsofa,5,372,0.06016402116402131,Hispanic,White,3
qsofa,119,294,0.31794871794871793,Black,Other,3
qsofa,79,1472,0.17916666666666659,Hispanic,Asian,5
qsofa,171,918,0.24978741496598644,Hispanic,White,4
qsofa,161,2662,0.14996619663898014,Hispanic,Black,5
qsofa,128,1006,0.24561688311688323,Other,Black,4
qsofa,147,820,0.2158564814814813,Black,Other,3
qsofa,112,1242,0.28205128205128216,Other,Asian,4
qsofa,32,862,0.13212365591397845,Other,Hispanic,4
qsofa,55,1819,0.33666666666666667,Hispanic,Asian,5
qsofa,17,286,0.18944444444444442,White,Other,2
qsofa,136,618,0.4325227493594842,Other,White,3
qsofa,109,594,0.2353479853479854,White,Other,4
qsofa,10,696,0.10503444166127995,White,Black,2
qsofa,204,1141,0.4705776249893897,Other,White,4
qsofa,117,217,0.14377299189256754,Black,White,2
qsofa,70,2637,0.1438045634920634,White,Asian,4
qsofa,160,270,0.10912698412698418,Asian,White,4
qsofa,62,1327,0.14260914760914767,Asian,Black,4
qsofa,16,257,0.0480816402708899,White,Black,2
qsofa,199,536,0.09796923543229541,Other,Black,3
qsofa,54,959,0.07334980637453481,White,Black,3
qsofa,100,2062,0.25,Hispanic,Other,4
qsofa,14,772,0.2572580645161291,Black,Hispanic,3
qsofa,21,2314,0.15387277761585538,Black,Other,4
qsofa,99,391,0.2802718532512132,White,Black,3
qsofa,71,156,0.3446374239350912,White,Black,2
qsofa,24,857,0.18607092375488476,Black,Other,5
qsofa,200,340,0.37103174603174616,Black,Hispanic,5
qsofa,189,582,0.16375188196326418,White,Hispanic,5
qsofa,60,499,0.3111111111111109,Asian,Hispanic,5
qsofa,26,678,0.16543062200956937,Black,Hispanic,5
qsofa,133,977,0.061418853255587824,White,Hispanic,5
qsofa,27,801,0.4522664835164836,Other,Black,3
qsofa,8,373,0.0739372945894684,Black,White,2
qsofa,194,2196,0.19847438083252822,White,Asian,4
qsofa,176,2508,0.3484407484407485,Asian,Black,4
qsofa,39,1291,0.19150715436368804,White,Black,3
qsofa,101,375,0.10184426229508203,White,Black,2
qsofa,19,3739,0.2678571428571428,Asian,Hispanic,5
qsofa,94,173,0.3152524167561761,White,Other,3
qsofa,145,484,0.10837096387468026,White,Other,3
qsofa,40,298,0.052247843689491424,White,Black,2
qsofa,185,1636,0.10075888777339492,White,Black,3
qsofa,159,684,0.24511746680286017,Black,Other,3
qsofa,166,669,0.0483479986197376,White,Black,2
qsofa,157,1277,0.2579891045644471,White,Black,4
qsofa,64,494,0.2886946937490159,Asian,Other,4
qsofa,125,434,0.07628676470588247,Black,White,2
qsofa,92,422,0.0751543209876544,Other,Black,3
qsofa,13,966,0.05149549243282714,White,Asian,4
qsofa,37,718,0.3897677639288377,Asian,Black,4
qsofa,139,641,0.02722728622068571,White,Black,2
qsofa,135,439,0.057499999999999996,Other,Asian,4
qsofa,51,107,0.040419676642586944,Other,White,2
qsofa,18,1402,0.19197524610370964,White,Hispanic,4
qsofa,181,441,0.23770871985157704,Black,Hispanic,4
qsofa,196,2613,0.273004393641446,White,Asian,4
qsofa,47,837,0.057315921740118125,Black,White,2
qsofa,188,2985,0.18510698198198205,Hispanic,Black,4
qsofa,2,1240,0.29454545454545455,Black,Hispanic,4
