component,column,demo_axis,group,auroc,n
respiratory,pf_ratio_min,age_group,overall,0.578871379009666,87315.0
respiratory,pf_ratio_min,age_group,18-29,0.5963883882335533,4605.0
respiratory,pf_ratio_min,age_group,30-39,0.6522647014412842,5076.0
respiratory,pf_ratio_min,age_group,40-49,0.6142616344668784,8161.0
respiratory,pf_ratio_min,age_group,50-59,0.582650297373893,15918.0
respiratory,pf_ratio_min,age_group,60-69,0.5857538771951112,20052.0
respiratory,pf_ratio_min,age_group,70-79,0.5678160426208344,19463.0
respiratory,pf_ratio_min,age_group,80+,0.5600208672763728,14040.0
respiratory,pf_ratio_min,age_group,_gap,0.09224383416491144,
coagulation,platelets_min,age_group,overall,0.5595859810727022,87315.0
coagulation,platelets_min,age_group,18-29,0.6265980806219484,4605.0
coagulation,platelets_min,age_group,30-39,0.6578739716419146,5076.0
coagulation,platelets_min,age_group,40-49,0.6197211656064646,8161.0
coagulation,platelets_min,age_group,50-59,0.605194185196074,15918.0
coagulation,platelets_min,age_group,60-69,0.5638593895728404,20052.0
coagulation,platelets_min,age_group,70-79,0.5126992283160829,19463.0
coagulation,platelets_min,age_group,80+,0.5109406637675513,14040.0
coagulation,platelets_min,age_group,_gap,0.14693330787436332,
liver,bilirubin_max,age_group,overall,0.5899848722595259,87315.0
liver,bilirubin_max,age_group,18-29,0.5822486112418792,4605.0
liver,bilirubin_max,age_group,30-39,0.6341884921311427,5076.0
liver,bilirubin_max,age_group,40-49,0.6260962841538311,8161.0
liver,bilirubin_max,age_group,50-59,0.629596021864091,15918.0
liver,bilirubin_max,age_group,60-69,0.6058328171238923,20052.0
liver,bilirubin_max,age_group,70-79,0.5640760167798147,19463.0
liver,bilirubin_max,age_group,80+,0.5618261407549,14040.0
liver,bilirubin_max,age_group,_gap,0.0723623513762427,
cardiovascular,map_min,age_group,overall,0.5913462122946406,87315.0
cardiovascular,map_min,age_group,18-29,0.45347828426163794,4605.0
cardiovascular,map_min,age_group,30-39,0.5763364393116516,5076.0
cardiovascular,map_min,age_group,40-49,0.5615065971051437,8161.0
cardiovascular,map_min,age_group,50-59,0.5763964850939219,15918.0
cardiovascular,map_min,age_group,60-69,0.5855184020548059,20052.0
cardiovascular,map_min,age_group,70-79,0.5874766003873011,19463.0
cardiovascular,map_min,age_group,80+,0.6013576806246546,14040.0
cardiovascular,map_min,age_group,_gap,0.1478793963630166,
cns,gcs_total,age_group,overall,0.7315404370629308,87315.0
cns,gcs_total,age_group,18-29,0.8496190162346833,4605.0
cns,gcs_total,age_group,30-39,0.7599981490772175,5076.0
cns,gcs_total,age_group,40-49,0.7879973066313044,8161.0
cns,gcs_total,age_group,50-59,0.7511811772557155,15918.0
cns,gcs_total,age_group,60-69,0.7317696485186672,20052.0
cns,gcs_total,age_group,70-79,0.7257650774548098,19463.0
cns,gcs_total,age_group,80+,0.7040263785823478,14040.0
cns,gcs_total,age_group,_gap,0.14559263765233543,
renal,creatinine_max,age_group,overall,0.6602870404150794,87315.0
renal,creatinine_max,age_group,18-29,0.6718033343645339,4605.0
renal,creatinine_max,age_group,30-39,0.6684485857488687,5076.0
renal,creatinine_max,age_group,40-49,0.6627309398840383,8161.0
renal,creatinine_max,age_group,50-59,0.662351699224825,15918.0
renal,creatinine_max,age_group,60-69,0.6565087756793597,20052.0
renal,creatinine_max,age_group,70-79,0.6350800522760068,19463.0
renal,creatinine_max,age_group,80+,0.6166762861619117,14040.0
renal,creatinine_max,age_group,_gap,0.05512704820262215,
